user,ILD,model
442,0.7,CF (KNNBasic)
440,0.7,CF (KNNBasic)
445,0.7,CF (KNNBasic)
447,0.7,CF (KNNBasic)
449,0.7,CF (KNNBasic)
450,0.7,CF (KNNBasic)
446,0.7,CF (KNNBasic)
439,0.7,CF (KNNBasic)
451,0.7,CF (KNNBasic)
452,0.7,CF (KNNBasic)
454,0.7,CF (KNNBasic)
453,0.7,CF (KNNBasic)
414,0.7,CF (KNNBasic)
455,0.7,CF (KNNBasic)
444,0.7,CF (KNNBasic)
448,0.7,CF (KNNBasic)
457,0.7888888888888889,CF (KNNBasic)
456,0.7,CF (KNNBasic)
458,0.7,CF (KNNBasic)
462,0.7,CF (KNNBasic)
459,0.7,CF (KNNBasic)
460,0.7,CF (KNNBasic)
461,0.7,CF (KNNBasic)
467,0.7,CF (KNNBasic)
468,0.7,CF (KNNBasic)
466,0.7,CF (KNNBasic)
472,0.7,CF (KNNBasic)
465,0.7,CF (KNNBasic)
463,0.7,CF (KNNBasic)
471,0.8444444444444444,CF (KNNBasic)
474,0.7,CF (KNNBasic)
469,0.7,CF (KNNBasic)
464,0.7,CF (KNNBasic)
476,0.7925925925925926,CF (KNNBasic)
478,0.7,CF (KNNBasic)
473,0.7,CF (KNNBasic)
470,0.7,CF (KNNBasic)
480,0.7,CF (KNNBasic)
441,0.7,CF (KNNBasic)
479,0.7,CF (KNNBasic)
484,0.7,CF (KNNBasic)
486,0.7,CF (KNNBasic)
487,0.7,CF (KNNBasic)
482,0.7,CF (KNNBasic)
481,0.7,CF (KNNBasic)
492,0.7,CF (KNNBasic)
493,0.7,CF (KNNBasic)
490,0.7,CF (KNNBasic)
489,0.5777777777777777,CF (KNNBasic)
483,0.7,CF (KNNBasic)
496,0.7111111111111111,CF (KNNBasic)
494,0.7,CF (KNNBasic)
495,0.7111111111111111,CF (KNNBasic)
477,0.7888888888888889,CF (KNNBasic)
497,0.7,CF (KNNBasic)
488,0.7,CF (KNNBasic)
498,0.7,CF (KNNBasic)
499,0.7,CF (KNNBasic)
491,0.7,CF (KNNBasic)
500,0.7,CF (KNNBasic)
502,0.7,CF (KNNBasic)
503,0.7,CF (KNNBasic)
504,0.7,CF (KNNBasic)
505,0.7,CF (KNNBasic)
506,0.7,CF (KNNBasic)
443,0.7,CF (KNNBasic)
507,0.7,CF (KNNBasic)
514,0.7,CF (KNNBasic)
508,0.7,CF (KNNBasic)
